Servicing option,Availability date,OS build,KB article
LTSC,2025-01-18,20348.3095,KB5052819
LTSC,2025-01-14,20348.3091,KB5049983
LTSC,2024-12-10,20348.2966,KB5048654
LTSC,2024-11-12,20348.2849,KB5046616
LTSC,2024-10-08,20348.2762,KB5044281
LTSC,2024-09-10,20348.27,KB5042881
LTSC,2024-08-13,20348.2655,KB5041160
LTSC,2024-07-09,20348.2582,KB5040437
LTSC,2024-06-20,20348.2529,KB5041054
LTSC,2024-06-11,20348.2527,KB5039227
LTSC,2024-05-14,20348.2461,KB5037782
LTSC,2024-04-09,20348.2402,KB5036909
LTSC,2024-03-22,20348.2342,KB5037422
LTSC,2024-03-12,20348.234,KB5035857
LTSC,2024-02-13,20348.2322,KB5034770
LTSC,2024-01-09,20348.2227,KB5034129
LTSC,2023-12-12,20348.2159,KB5033118
LTSC,2023-11-14,20348.2113,KB5032198
LTSC,2023-10-10,20348.2031,KB5031364
LTSC,2023-09-12,20348.197,KB5030216
LTSC,2023-08-08,20348.1906,KB5029250
LTSC,2023-07-11,20348.185,KB5028171
LTSC,2023-06-13,20348.1787,KB5027225
LTSC,2023-05-09,20348.1726,KB5026370
LTSC,2023-04-11,20348.1668,KB5025230
LTSC,2023-03-14,20348.1607,KB5023705
LTSC,2023-02-14,20348.1547,KB5022842
LTSC,2023-01-10,20348.1487,KB5022291
LTSC,2022-12-20,20348.1368,KB5022553
LTSC,2022-12-13,20348.1366,KB5021249
LTSC,2022-11-22,20348.1311,KB5020032
LTSC,2022-11-17,20348.1251,KB5021656
LTSC,2022-11-08,20348.1249,KB5019081
LTSC,2022-10-25,20348.1194,KB5018485
LTSC,2022-10-17,20348.1131,KB5020436
LTSC,2022-10-11,20348.1129,KB5018421
LTSC,2022-09-20,20348.107,KB5017381
LTSC,2022-09-13,20348.1006,KB5017316
LTSC,2022-08-16,20348.946,KB5016693
LTSC,2022-08-09,20348.887,KB5016627
LTSC,2022-07-19,20348.859,KB5015879
LTSC,2022-07-12,20348.825,KB5015827
LTSC,2022-06-23,20348.803,KB5014665
LTSC,2022-06-14,20348.768,KB5014678
LTSC,2022-05-24,20348.74,KB5014021
LTSC,2022-05-19,20348.709,KB5015013
LTSC,2022-05-10,20348.707,KB5013944
LTSC,2022-04-25,20348.681,KB5012637
LTSC,2022-04-12,20348.643,KB5012604
LTSC,2022-03-22,20348.617,KB5011558
LTSC,2022-03-08,20348.587,KB5011497
LTSC,2022-02-15,20348.558,KB5010421
LTSC,2022-02-08,20348.524,KB5010354
LTSC,2022-01-25,20348.502,KB5009608
LTSC,2022-01-17,20348.473,KB5010796
LTSC,2022-01-11,20348.469,KB5009555
LTSC,2022-01-05,20348.407,KB5010197
LTSC,2021-12-14,20348.405,KB5008223
LTSC,2021-11-22,20348.38,KB5007254
LTSC,2021-11-09,20348.35,KB5007205
LTSC,2021-10-26,20348.32,KB5006745
LTSC,2021-10-12,20348.288,KB5006699
LTSC,2021-09-27,20348.261,KB5005619
LTSC,2021-09-14,20348.23,KB5005575
LTSC,2021-08-26,20348.202,KB5005104
